MobilePhoneList [2009-12-01 00:00:03] By http://ke-tai.org/
"連番","メーカ名","機種名","機種略名","ユーザエージェント","タイプ１","タイプ２","ブラウザ幅(x)","ブラウザ高さ(y)","表示カラー数","ブラウザキャッシュ","GIF","JPG","PNG","Flash","Flashバージョン","Flashワークメモリ","Javaアプリ","BREW","HTML","SSL","ログイン","クッキー","CSS","GPS","発売日","備考","更新状況メモ","更新日"
"117","DoCoMo","N506iSII","N506iSII","DoCoMo/1.0/N506iS2","mova","5.0","240","295","262144","20","1","1","0","1","1.0","400","1","0","1","1","1","0","","0","2006-03","","","2009-09-15 19:23:46"
"118","DoCoMo","P506iCII","P506iC","DoCoMo/1.0/P506iC","mova","5.0","240","266","65536","20","1","1","0","1","1.0","404","1","0","1","1","1","0","","0","2006-04","P506iCとUAが同一","","2009-09-15 19:24:27"
"119","DoCoMo","D253i","D253i","DoCoMo/1.0/D253i","mova","5.0","176","198","262144","10","1","1","0","0","","","0","0","1","1","1","","","0","2004-10","","","2009-09-15 19:25:00"
"120","DoCoMo","N253i","N253i","DoCoMo/1.0/N253i","mova","5.0","160","180","65536","10","1","1","0","0","","","0","0","1","1","1","0","","0","2004-10","","","2009-09-15 19:25:26"
"121","DoCoMo","P253i","P253i","DoCoMo/1.0/P253i","mova","5.0","132","144","65536","10","1","1","0","0","","","0","0","1","1","1","0","","0","2004-11","","","2009-09-15 19:26:08"
"122","DoCoMo","D253iWM (Music PORTER)","D253iWM","DoCoMo/1.0/D253iWM","mova","5.0","220","144","262144","10","1","1","0","0","","","0","0","1","1","1","0","","0","2004-12","","","2009-09-15 19:26:55"
"123","DoCoMo","P253iS (Lechiffon)","P253iS","DoCoMo/1.0/P253iS","mova","5.0","132","144","65536","10","1","1","0","0","","","0","0","1","1","1","0","","0","2005-02","","","2009-09-15 19:27:43"
"124","DoCoMo","P213i (prosolid)","P213i","DoCoMo/1.0/P213i","mova","5.0","132","144","65536","10","1","1","0","0","","","0","0","1","1","1","0","","0","2004-12","","","2009-09-15 19:32:28"
"125","DoCoMo","F900i","F900i","DoCoMo/2.0 F900i","FOMA","5.0","230","240","262144","100","1","1","0","1","1.0","1000","1","0","1","1","1","0","","0","2004-02","","","2009-09-15 19:35:26"
"126","DoCoMo","N900i","N900i","DoCoMo/2.0 N900i","FOMA","5.0","240","269","65536","100","1","1","0","1","1.0","1024","1","0","1","1","1","","","0","2004-02","","","2009-09-15 19:36:16"
